length,age
60,6
68,7
63,7
68,7
70,7
71,8
80.5,8
78,8
75,8
74,8
72,8
87,9
87,9
88,9
98,9
92,9
86,9
90,9
84,9
111,9
86,9
104,10
90,10
97,10
96,10
105,11
94,11
103,11
114,11
98,11
98,11
108,11
107,12
97,12
108,12
100,12
108,12
116,12
101,12
115,12
98,12
102,13
118,13
109,13
109,13
111,13
119.5,13
118,14
119,14
126,16
129,16
136,18
137,19
143,19
144,20
