2004,2005,2006,2007,2008,2017,2024
127,143.51,160.02,140.97,119.38,123.19,114.3
126,137.16,129.54,139.7,114.3,114.3,114.3
124.5,132.08,129,137.16,114.3,106.68,111.76
112.5,129,128,137,114.3,106.68,109.22
109.22,121.92,119.5,122.5,114.3,101.6,109.22
106.8,116.84,118,121.92,104.14,101.6,106.68
103.5,116.84,114,116.84,104.14,99.06,101.6
101.6,116.84,111.76,115.57,104.14,99.06,101.6
101.6,104.14,109.22,115.57,93.98,99.06,101.6
96.52,104.1,106.68,115,93.98,96.52,101.6
94,104.1,104.14,114.3,91.44,93.98,101.6
93.98,101.6,104.14,114.3,90.17,93.98,101.6
93.98,101.5,103,114,88.9,92.71,99.06
92,100,103,111.76,88.9,91.44,99.06
91.44,99,101.6,111.76,86.36,91.44,96.52
91.44,98.5,101,109.5,86.36,91.44,96.52
90.5,98,101,109.22,85.09,90.17,96.52
89,97,100,109.22,83.82,88.9,93.98
87.7,93,99.3,109.22,83.82,88.9,91.44
85,92.71,99.06,109.22,82.55,86.36,91.44
85,92.71,99.06,108,81.28,86.36,91.44
83.82,92,99.06,107.5,81.28,85.09,91.44
82.3,91.44,99.06,106.68,81.28,83.82,91.44
79.5,89.5,99.06,106.68,81.28,83.82,88.9
79.5,89,99,106.5,81.28,83.82,88.9
78.2,89,98.2,105.5,78.74,83.82,86.36
71.12,88.9,98,105,76.2,83.82,86.36
70,88,98,104.14,76.2,83.82,86.36
69,87,98,104.14,76.2,81.28,86.36
69,87,96.52,101.6,73.66,81.28,86.36
69,86.36,96.5,101.6,73.66,81.28,85.09
69,86.36,96,101.6,73.66,81.28,83.82
68.58,86.36,96,99.5,73.66,81.28,83.82
68,85,96,99.06,73.66,81,83.82
67,84.455,95.5,99.06,71.12,78.74,81.28
66.04,83.82,95,99.06,71.12,78.74,81.28
66,83,93.98,98.5,71.12,78.74,78.74
66,82.5,93.5,97.5,71.12,78.74,78.74
66,82.3,93,96.52,69.85,78.74,76.2
66,81.28,92.5,96.52,69.85,78.74,76.2
65,79,92,96.52,68.58,78.74,76.2
64,75,92,96.52,68.58,78.74,76.2
60,73.5,92,96.52,68.5,78.74,76.2
58,73,91.44,96.52,68,78.74,76.2
57.15,72.5,91,96.52,67.31,76.2,76.2
56,71.12,90.5,95.5,66.04,76.2,76.2
55,70.5,89,95,64,76.2,76.2
