linf,k,m,pop,species
140.18592110348445,0.08625436943439452,0.15226625566739968,tugur,Hucho taimen
144.1185916616197,0.08262125818765291,0.16895713892283565,tugur,Hucho taimen
145.40034539458804,0.08485982993932308,0.17075763167724356,tugur,Hucho taimen
137.5816381129996,0.08897840835547753,0.16708499106736405,tugur,Hucho taimen
137.61396032529112,0.09279308697113392,0.25276935420909913,tugur,Hucho taimen
140.38615929838952,0.08467574991907181,0.11530548687163263,tugur,Hucho taimen
142.3620977669104,0.08904117912457815,0.18801326282522518,tugur,Hucho taimen
136.22455337417864,0.09144045949933968,0.15532669050623474,tugur,Hucho taimen
134.50525588435116,0.08916709174942238,0.16582476479387478,tugur,Hucho taimen
133.49559871781642,0.08897664618658464,0.17017460076190202,tugur,Hucho taimen
136.4652237033258,0.0907420587928053,0.1431118222041954,tugur,Hucho taimen
140.561610190102,0.08686256612433232,0.14702991979893307,tugur,Hucho taimen
136.19927159133607,0.08211177262271985,0.12434591766231916,tugur,Hucho taimen
136.86984435208734,0.09563154953794732,0.1307546352178795,tugur,Hucho taimen
145.5237553702561,0.08313450801121626,0.15206605085444946,tugur,Hucho taimen
131.6104648108688,0.08911114160244613,0.10239406284512405,tugur,Hucho taimen
129.08613285080318,0.08780446505251528,0.17376523026222038,tugur,Hucho taimen
132.40920717491937,0.08705788933254893,0.13300868377433522,tugur,Hucho taimen
133.67084427436473,0.10136569782288672,0.14430017522922794,tugur,Hucho taimen
131.37865167243072,0.10061112519737504,0.17563311304699428,tugur,Hucho taimen
133.98184184472973,0.08902611742537996,0.16343552404986553,tugur,Hucho taimen
144.97914268230272,0.08094270683089815,0.18683715667853518,tugur,Hucho taimen
145.3173896663855,0.08905083908922841,0.19262940456134972,tugur,Hucho taimen
139.6779139110211,0.09063077582116257,0.14296696761240002,tugur,Hucho taimen
134.35954383820354,0.08805139869136078,0.15668928860362338,tugur,Hucho taimen
131.2021054269929,0.09285549839320324,0.16000796375742168,tugur,Hucho taimen
133.38569421201677,0.09321927041714934,0.17966369327567133,tugur,Hucho taimen
146.4417645209833,0.08559703456376712,0.17987784676005325,tugur,Hucho taimen
143.81615777063783,0.082209382945724,0.12912735701514874,tugur,Hucho taimen
137.5599950786348,0.08480492952340922,0.17764624600302556,tugur,Hucho taimen
131.17780033526086,0.09175220957662598,0.2229771400981069,tugur,Hucho taimen
133.9851135440025,0.09373416848813208,0.19953621496965082,tugur,Hucho taimen
125.49282348458622,0.10327185236730518,0.1452463225836109,tugur,Hucho taimen
147.99494540300205,0.07470653256301031,0.1494134612981926,tugur,Hucho taimen
147.4859533695667,0.07361315964115484,0.18203173713600818,tugur,Hucho taimen
140.9021399288005,0.08972225541166035,0.12140393153319276,tugur,Hucho taimen
142.85566438353322,0.0862973404929714,0.12885451877863222,tugur,Hucho taimen
141.50107847301916,0.09171268228069188,0.17187656995317063,tugur,Hucho taimen
140.73366745967022,0.0969804621781178,0.18353596349898776,tugur,Hucho taimen
139.9833570162873,0.07928042884121295,0.1284725927894969,tugur,Hucho taimen
145.81855369204595,0.08464025805971054,0.1538464718636833,tugur,Hucho taimen
147.54009834397812,0.08535649888940784,0.1350837183751057,tugur,Hucho taimen
129.00681914499447,0.09606732653849816,0.2388157193781013,tugur,Hucho taimen
145.48972344226857,0.08340562806358154,0.13557753889564203,tugur,Hucho taimen
133.81241763273695,0.08995193986611122,0.16034326697740775,tugur,Hucho taimen
140.17211963414152,0.08849863098710713,0.18439093359837638,tugur,Hucho taimen
134.92736554353365,0.08980210422047542,0.15718894869879507,tugur,Hucho taimen
136.66615220060854,0.08258931945896067,0.15189122445959805,tugur,Hucho taimen
139.74702058041578,0.09709509664303698,0.15321544168624937,tugur,Hucho taimen
138.84076879786844,0.0798812610272211,0.14587187083092734,tugur,Hucho taimen
139.06410365539304,0.07898655196970514,0.1361213954101055,tugur,Hucho taimen
132.94623173647472,0.09786221843415556,0.11715209381079156,tugur,Hucho taimen
151.7286682608284,0.07540329239258974,0.20553248193643667,tugur,Hucho taimen
149.3520229469737,0.0758779787117375,0.14335711009717464,tugur,Hucho taimen
144.01995637544618,0.07710140642084451,0.12292486978930102,tugur,Hucho taimen
140.4375555491405,0.08904215787380097,0.1152848836019516,tugur,Hucho taimen
139.76588414886396,0.08037376542252184,0.1548724262894708,tugur,Hucho taimen
137.66413158651642,0.07835648933581289,0.17935491003630538,tugur,Hucho taimen
133.27148203081086,0.07569205159485624,0.13150732852079747,tugur,Hucho taimen
131.03633442724853,0.10372985708503386,0.13350739181990454,tugur,Hucho taimen
136.29487514627633,0.08813951048986803,0.15536087207904178,tugur,Hucho taimen
143.53445967169503,0.08116500656202862,0.12379344925014692,tugur,Hucho taimen
133.8024586539372,0.09070026025764474,0.17506471963055262,tugur,Hucho taimen
142.175373023024,0.08970973124780744,0.14284424944958926,tugur,Hucho taimen
131.0662733717996,0.09333029849939348,0.1547530621638284,tugur,Hucho taimen
145.4497189478313,0.08102580946479664,0.13737044538639195,tugur,Hucho taimen
132.8472283069657,0.0928192645436088,0.13801133891107753,tugur,Hucho taimen
130.87784603928,0.08689061146107223,0.11063184765900926,tugur,Hucho taimen
127.65791325330405,0.08591412322610302,0.18142804452766703,tugur,Hucho taimen
127.54130395927494,0.08960039794970487,0.16513762045999503,tugur,Hucho taimen
130.0105140913696,0.09375803117567104,0.17131489791200089,tugur,Hucho taimen
144.40625817600346,0.0920516624636415,0.13669672293669735,tugur,Hucho taimen
145.10817946637965,0.099361642567911,0.1642145203948493,tugur,Hucho taimen
145.60763269841385,0.08652620050974348,0.16604408542579963,tugur,Hucho taimen
144.510672433161,0.08467760617815033,0.1247507292746249,tugur,Hucho taimen
142.141182367408,0.08120586583337462,0.20168850089519286,tugur,Hucho taimen
146.04942584912564,0.08329689927321753,0.20826355975675623,tugur,Hucho taimen
144.57135836875997,0.08140725618086554,0.1682660114238741,tugur,Hucho taimen
148.0952410620567,0.08216508263600872,0.19394282911065866,tugur,Hucho taimen
137.08987687784824,0.09205968890265416,0.1290581732971294,tugur,Hucho taimen
138.3778315440642,0.09635545992272294,0.1414990302642214,tugur,Hucho taimen
135.31182973905743,0.088238374055068,0.12397471758555671,tugur,Hucho taimen
135.11460992682208,0.08649571267463613,0.11988037042385806,tugur,Hucho taimen
141.09209840648737,0.09843655642684836,0.1788219358899276,tugur,Hucho taimen
139.95189488500802,0.0918111208977792,0.1818829997275056,tugur,Hucho taimen
131.3278281794071,0.08995466604765609,0.1332025691944364,tugur,Hucho taimen
137.52219468810569,0.09045110622534693,0.12539236396378198,tugur,Hucho taimen
136.92453400229277,0.09776683147479125,0.15150652025196884,tugur,Hucho taimen
131.5405654914273,0.09084417264672674,0.1409940862888646,tugur,Hucho taimen
133.50736626657493,0.08342769367836522,0.16600178686270634,tugur,Hucho taimen
148.55805389965178,0.08371088369512396,0.16128053601943212,tugur,Hucho taimen
141.3453484106321,0.08105620564006177,0.17468902468272113,tugur,Hucho taimen
138.9817212768385,0.08569275008206931,0.188322921694188,tugur,Hucho taimen
137.6614129064657,0.08700567259435564,0.16127608115224476,tugur,Hucho taimen
140.6590539833472,0.0915401932735006,0.11790770992191457,tugur,Hucho taimen
140.02453586649204,0.0928611945726406,0.14171351948620728,tugur,Hucho taimen
144.10103756816005,0.0833870526501763,0.16576623046118308,tugur,Hucho taimen
145.0011054151179,0.08195739669946629,0.21548574939075105,tugur,Hucho taimen
139.92739368106152,0.09448257422665844,0.15242383402687104,tugur,Hucho taimen
138.9417433596132,0.09036660343629216,0.13658357919257502,tugur,Hucho taimen
136.23695524267364,0.08909355198560179,0.15930944725507123,tugur,Hucho taimen
142.32748690549636,0.08935427865957048,0.15413023634044093,tugur,Hucho taimen
137.08510227056993,0.08705669376396884,0.17533249317830693,tugur,Hucho taimen
135.58280929838847,0.0878083851009891,0.17234394072718628,tugur,Hucho taimen
139.33793484404768,0.09194998930770784,0.2109651147246788,tugur,Hucho taimen
136.86147799141906,0.0932597657386075,0.16134030893920498,tugur,Hucho taimen
131.52282280750953,0.09084477729344569,0.145717128690387,tugur,Hucho taimen
129.9581678618782,0.08951668801874162,0.14922428264080295,tugur,Hucho taimen
137.60936699297085,0.08361455113875116,0.14439759934524846,tugur,Hucho taimen
136.50336472738317,0.08934754353981131,0.1485324727438667,tugur,Hucho taimen
139.92547004988896,0.08542158415291683,0.16076787725965644,tugur,Hucho taimen
141.24458682627156,0.08777886001268236,0.1822599762455661,tugur,Hucho taimen
130.9400003724406,0.09150723888502736,0.17414390654458198,tugur,Hucho taimen
135.26730833462534,0.08980378166119195,0.1423284436739181,tugur,Hucho taimen
141.4163441155559,0.08857216528354782,0.2043482206558859,tugur,Hucho taimen
153.9753196200377,0.07471656320741178,0.14039641934309008,tugur,Hucho taimen
153.39395962579152,0.08318645462397734,0.16430138543355002,tugur,Hucho taimen
151.0666764431636,0.08276849614554282,0.14248331442020004,tugur,Hucho taimen
147.19489693717256,0.08712832532102997,0.1517935176675741,tugur,Hucho taimen
130.31393038259085,0.09526148065368374,0.13146974783102044,tugur,Hucho taimen
147.8784427923957,0.08280643805655398,0.17507607600601022,tugur,Hucho taimen
136.33985648364578,0.09272501269891456,0.16218040471659811,tugur,Hucho taimen
134.77182049929914,0.0912517681641948,0.13373662731790215,tugur,Hucho taimen
129.52427133430638,0.09469694467106952,0.13467168925232,tugur,Hucho taimen
134.2221518579412,0.09225665173510487,0.1483844502606687,tugur,Hucho taimen
144.8438382133131,0.08425526922181772,0.1581432307132431,tugur,Hucho taimen
132.67762360145568,0.08658317589174931,0.15243935829750205,tugur,Hucho taimen
146.03562481924251,0.08925661935072456,0.16047943789241065,tugur,Hucho taimen
148.4052656926596,0.08509956144410906,0.11388313606447993,tugur,Hucho taimen
130.46396323819928,0.08429640985741269,0.14867793799331572,tugur,Hucho taimen
130.42965887532824,0.08812022635302705,0.1662626339949314,tugur,Hucho taimen
139.04614047553935,0.0922265873490494,0.14995743194570618,tugur,Hucho taimen
136.56393934824212,0.08966812747263725,0.1547709345321002,tugur,Hucho taimen
141.23542530846439,0.08308984593419724,0.18634847329703158,tugur,Hucho taimen
136.90860027139414,0.08810331199445989,0.1710225161998733,tugur,Hucho taimen
136.61708677761206,0.08701160220599825,0.17214392015481356,tugur,Hucho taimen
137.47300210294298,0.08544184469589354,0.1450064095397325,tugur,Hucho taimen
141.59458292811615,0.08757462243800737,0.1681743487173896,tugur,Hucho taimen
144.53994285571935,0.08694762541738761,0.11319311598002035,tugur,Hucho taimen
139.27077249217675,0.0817416395881944,0.12429693863462643,tugur,Hucho taimen
139.47060528440775,0.08396577064277175,0.15536065668908086,tugur,Hucho taimen
139.00685914534802,0.08712651691069108,0.13387875056506304,tugur,Hucho taimen
136.99474974253476,0.0920237250538843,0.19508157207968718,tugur,Hucho taimen
135.82886717165377,0.09013203789405226,0.1712507663959131,tugur,Hucho taimen
125.92648163119982,0.09070754961464136,0.14651476069054686,tugur,Hucho taimen
127.66490908252553,0.09413801546354264,0.14799809220729734,tugur,Hucho taimen
136.86361180070352,0.0783408497439534,0.1550007612263974,tugur,Hucho taimen
148.13300684363662,0.08471695060946512,0.10102336334686714,tugur,Hucho taimen
131.38160033922298,0.09270513790840353,0.12040919036346409,tugur,Hucho taimen
129.05863203804773,0.09159082647062491,0.21373659648541296,tugur,Hucho taimen
143.2114050667078,0.08747001546957665,0.14722888910309354,tugur,Hucho taimen
139.78441092385552,0.08097125815312069,0.1521005404185108,tugur,Hucho taimen
138.18883169285198,0.0968071000263088,0.19715789331223743,tugur,Hucho taimen
140.64494378405124,0.0928862329919643,0.1608870974191221,tugur,Hucho taimen
141.94906067255826,0.09268370775697704,0.18266888381969157,tugur,Hucho taimen
134.3695204229038,0.09301959202457764,0.17280156976518246,tugur,Hucho taimen
140.5480786899324,0.08708355394890731,0.15539463402111542,tugur,Hucho taimen
135.61154010977617,0.08631704522445678,0.14322587630435035,tugur,Hucho taimen
137.0146197649175,0.08066308650599954,0.2093306809786853,tugur,Hucho taimen
140.31575943331927,0.0897480073870824,0.14843930420150303,tugur,Hucho taimen
139.41958200812266,0.08820698233380735,0.18610526378214398,tugur,Hucho taimen
144.86975870336028,0.0805721300887564,0.1797533950870503,tugur,Hucho taimen
141.45678714546656,0.0807585534890405,0.18047248447382952,tugur,Hucho taimen
141.16572723227114,0.08432865208033036,0.1611554209026333,tugur,Hucho taimen
137.32818034501156,0.09391031746035144,0.16367582050085316,tugur,Hucho taimen
140.00173662748725,0.08277196947920813,0.1439621358727185,tugur,Hucho taimen
141.40862174425652,0.07875513386431039,0.1525862812039937,tugur,Hucho taimen
142.09682493908548,0.07731218748463146,0.11867051803542832,tugur,Hucho taimen
137.48573709644018,0.0823031569070722,0.17590406308473658,tugur,Hucho taimen
148.12130587659993,0.08005960885650136,0.15831079318288818,tugur,Hucho taimen
135.1450422251302,0.09340629547485446,0.1471905539815435,tugur,Hucho taimen
133.5684835660754,0.09319000249924136,0.15600181616786674,tugur,Hucho taimen
135.04360812697652,0.09342744070508165,0.19976257745199139,tugur,Hucho taimen
134.03009205500229,0.09337347253716262,0.17129687325721688,tugur,Hucho taimen
133.90502172078166,0.08807810224566638,0.1927870074040207,tugur,Hucho taimen
137.00301531948946,0.0881134326418034,0.18592717564990788,tugur,Hucho taimen
