linf,k
141.52607617723163,0.08739596488301829
139.0995357074436,0.09411762854918249
131.34907800821972,0.09031920767266331
131.03608980552676,0.09585742516026496
131.17848556743166,0.08564999555987526
133.04263244570387,0.0852160390216235
137.51970810405453,0.08942250891212766
151.6002786118268,0.08788382522444989
139.03650343906818,0.0931071787458811
133.69290495938586,0.09593374892984453
134.66566068883378,0.09524997215123389
134.86412824888703,0.0991061750387352
140.66268138668914,0.0982837802277948
143.5106082020813,0.08483638616423228
141.0708094443141,0.08703458272917267
140.3675906161345,0.08998440969322821
142.01915180099658,0.09121604116573452
135.22377069938477,0.08553201654294505
137.11198320341254,0.09578738421518271
151.19577453785013,0.09075610759053594
142.30561145685354,0.09335025275649465
142.92358600250446,0.0861394857850948
142.08653883113587,0.09469902543314389
144.7932902700307,0.08704243723129154
146.60370688077003,0.09081121035867613
144.5871192815498,0.08926892046517375
142.49729272293376,0.09570903929737049
140.4093673372958,0.09617632257588868
147.80882168962953,0.09264365183292214
136.6467849873537,0.09470167528347584
144.94223007125694,0.08570272052080445
141.79650505915998,0.08766674540627205
139.68562444390741,0.0912754729380134
148.24286885950937,0.08987806236081063
149.14538635269,0.08909606343984795
140.6101924949748,0.08505615590718013
140.09096553235386,0.0941871566741747
135.24782326939157,0.09248961974114969
144.33140875232402,0.10216572112174889
142.55653307436847,0.0831401633757586
146.92614661095013,0.08138829876381182
140.64076388906417,0.09842873753588555
141.80705156242547,0.0908246288020861
144.67252717090648,0.0871701428261636
145.1153300564681,0.08615935555965842
142.1626959966366,0.09224926736425006
141.98654950664874,0.08585123820895683
147.2438622678778,0.08459117225584084
150.5982280185833,0.0884371140657755
154.63852155865936,0.08579096029613312
139.65695832198813,0.08312293928751123
134.8590919721761,0.09533823940240567
139.2505676336025,0.09786266974244318
143.3127210621234,0.09419544667527424
145.55861867820306,0.09448898454777259
149.24664389128384,0.08583653765304666
138.5686362940023,0.09331674474676876
150.0433322663172,0.08556012362886219
149.35850199652987,0.09490824494047784
142.5603255034468,0.08619096032572338
152.6621719171445,0.08039118023340229
152.75001971370858,0.07922807642547924
147.43193093497013,0.08299826166037165
142.17458884605688,0.08536569208043324
147.8985694584923,0.08551410247613876
150.2511739203877,0.08741447983037302
140.47476339757333,0.09318225245138782
142.99580702484948,0.09140128641891161
138.38549332961117,0.08813093072878019
140.25461961900385,0.0833457248094483
139.06431543928605,0.09940782354671673
137.70041723594665,0.08924057996191494
143.81221081148846,0.08008701320021779
148.08226467097742,0.08186379455553061
143.3541662669115,0.07983672165755919
144.1828476594282,0.08888495984585798
145.0314548451113,0.09140515972924419
147.95331886696906,0.08945501701988592
150.29212337921,0.08629917141363734
154.1727649055949,0.08576121817649997
156.31551567460247,0.08849560716192646
144.91015525987942,0.08142540559465843
143.5552239808001,0.08394318183380886
144.08809016412346,0.08519098248769985
141.28870242688316,0.0996579861249481
139.79731684354746,0.08562764794615511
139.50391824823492,0.08733266818488035
140.96477987629513,0.0918739951916515
141.26170785954065,0.09658586970431665
148.29392146999663,0.07940351522845497
142.1518190504114,0.08823738829948688
150.1240410325172,0.07847352105965621
147.20703620440594,0.09105803437255555
146.82234200263133,0.08722189059906614
149.5928591537812,0.09229911108780035
149.00996508524005,0.09496266585689833
144.05848252318407,0.09145351955708822
147.1344758052824,0.09215700006656792
143.52302520205836,0.08558130930650862
151.6737612047293,0.08694604235224589
142.83336823428158,0.09393871479386026
143.1673056714161,0.0933884450000388
152.6379632992851,0.09262211626676917
139.12849017801776,0.09372339774315791
140.3705378795533,0.09852001800821863
134.93062097900852,0.08874391039003632
153.1619287846285,0.0857113615269882
147.5332250230897,0.07800334133281353
148.29950398867507,0.08476486956825412
151.58238329555738,0.07406451110544762
128.00637740487937,0.09653637716831637
130.40912051529645,0.09008407874909656
135.58311433068727,0.09419732010684868
135.57348530856427,0.08617412993955904
143.16438332450252,0.08748118397794989
143.16366396569208,0.09461545323595288
142.99138730601732,0.09844597284677246
142.6451709345589,0.10077475191578035
143.34417005763606,0.09748211571096138
152.19742021701668,0.08427485669878344
144.767010082428,0.08371765784885893
149.42449876392772,0.09023798751125944
140.08519300514178,0.09113193788343935
146.843780727775,0.09354760695644658
145.72903728005554,0.08845297067469751
148.5702942944269,0.08575191182168203
137.30141016160965,0.08858807038844009
149.9609337203274,0.09166530152430634
136.59202486119167,0.09232034247653938
133.55824655107796,0.1018942222589095
132.19670723648107,0.09952939766473302
131.53109014505833,0.09356305201841815
138.48913417140943,0.0881418312339486
144.17120827620144,0.08129499200510433
140.7278399077901,0.08545167208329241
149.26786926381178,0.08256577578018379
149.59603587776863,0.08148719625684868
152.32101536136133,0.08208621566876564
140.57467655325542,0.08590289655887895
140.91686497831594,0.090952871619869
143.1344391716658,0.08943495524357412
143.9248804853461,0.08281357119795081
148.26384394727677,0.08830750362344322
144.54194184062135,0.08640585496751345
155.1533619317674,0.08947510337755621
145.12741519438998,0.08578622677948793
135.39256412982039,0.08613508375695145
139.66205214959962,0.07923439591772691
158.07208132588295,0.10168432571259753
155.40657245809487,0.08853930983537517
151.25569816136283,0.07657088739787102
152.53486738736524,0.08092033964318818
141.2657139154866,0.09987882305682248
136.23925343175648,0.09520760690493918
147.4333617323436,0.08871086808220136
146.7602484333575,0.09281682114854742
146.66001776329475,0.08790406898323996
145.83602231603385,0.09184216630960679
142.54671238087298,0.08740483292791325
142.8880009728402,0.09302422597854373
147.3485754882391,0.09889639885403424
144.04826335200974,0.09604970862434146
141.22046733359693,0.09354241136734538
140.0714926381406,0.0862530252985027
145.16709144720716,0.10116299956996254
151.6028104405828,0.08628279210146929
146.5466320720049,0.08529749893632559
144.90736732052804,0.08664073936281327
150.73244040412797,0.08614369631012368
145.8171976763976,0.09009164158036197
143.98649639482718,0.09095286673731402
142.67646872089034,0.08836792763870092
147.16142605707614,0.08692907352233509
142.1893669380947,0.09335981796198224
141.644035570087,0.09244930094925309
140.68083815041177,0.09641647000669697
