2015,2016,2017,2018
72.8,,60.7,
56,,71,
73.7,,74.8,
79.1,,79.7,
61.5,,87.8,
56.2,,62.9,
66.5,,66.8,
68.5,,91.7,
51.9,,93.2,
83.1,,90.2,
70.6,,73.7,
81.1,,70,
64.4,,79,
95.4,,72.8,
62.2,,79.1,
89.4,,82.9,
55,,82.5,
77.5,,75.2,
64.5,,82.7,
67.3,,68,
81.1,,59.8,
76.4,,74.7,
86.2,,76.1,
88.6,,59.2,
58.5,,74.6,
57.7,,64,
69.6,,87.1,
81.3,,76.6,
67.2,,97.3,
55.5,,88.1,
56.7,,77.8,
70.8,,61.5,
78.5,,78.4,
58.9,,72.2,
77.8,,82.7,
56.1,,71,
66.5,,87.2,
67.9,,68.7,
50.1,,66.2,
67.2,,72.3,
61.7,,71.4,
68,,93.6,
52.5,,74.3,
54.4,,61.6,
58.1,,75.2,
53.2,,74.7,
50.6,,92.8,
50.4,,59.6,
53.2,,71.4,
64.9,,90.3,
54,,79.2,
63.9,,63.2,
58.9,,75.6,
60.8,,78.9,
65.5,,91.8,
49.5,,74.1,
48,,72.4,
53.9,,90,
61.5,,50.7,
63.8,,73.9,
49.5,,56.3,
43.3,,69.9,
40.2,,67.9,
40.2,,67.9,
46.7,,58.6,
59.2,,73.2,
50.1,,75.1,
58.6,,93.2,
41.9,,72.1,
65.6,,78,
43.5,,72.8,
54.3,,70.6,
45.1,,78.1,
70.2,,76.7,
66.1,,86.4,
65.1,,64.3,
63,,65.6,
40.5,,80.5,
67.1,,70.6,
60.6,,79,
64.3,,59.1,
43.8,,60.7,
47.3,,80.6,
56.5,,76.6,
55.9,,63.3,
60.4,,51.9,
56.1,,67.9,
43.2,,74.1,
42.6,,76.7,
50.4,,77.5,
63.5,,69.8,
63.2,,71.8,
62.5,,68.7,
66.5,,83.3,
,,69.8,
,,61.9,
,,78.7,
,,64.7,
,,79,
,,54.7,
,,85.2,
,,62.7,
,,69.9,
,,72.8,
,,96.7,
,,90.1,
,,90.2,
,,80.8,
,,79.1,
,,88.6,
,,84.4,
,,72.8,
,,78.6,
,,62.2,
,,70.1,
,,58.3,
,,63.4,
,,93.6,
,,78.7,
,,74.7,
,,59.3,
,,86,
,,75.1,
,,84.8,
,,65.4,
,,76.6,
,,49,
,,72,
,,85.2,
,,84,
,,89.2,
,,69.4,
,,85.6,
,,74.4,
,,75,
,,85.3,
,,79.6,
,,68.7,
,,67.6,
,,77.2,
,,81.2,
,,57,
,,58.7,
,,72.1,
,,55.2,
,,79.2,
,,77.3,
,,77.2,
,,59.4,
,,73.6,
,,84.7,
,,87.6,
,,81.4,
,,86.3,
,,94.7,
,,80,
,,84.9,
,,88.1,
,,55.7,
,,82.5,
,,73.9,
,,68.4,
,,75.8,
,,76.1,
,,51.3,
,,71,
,,79.9,
,,48.3,
,,70.4,
,,66,
,,83.9,
