species,log.age_max_mean,trophic_level_mean,log.aspect_ratio_mean,log.fecundity_mean,log.growth_coefficient_mean,temperature_mean,log.length_max_mean,log.length_infinity_mean,log.length_maturity_mean,log.age_maturity_mean,log.natural_mortality_mean,log.weight_infinity_mean,log.max_body_depth_mean,log.max_body_width_mean,log.lower_jaw_length_mean,log.min_caudal_pedoncule_depth_mean,log.offspring_size_mean,log.age_max_sd,trophic_level_sd,log.aspect_ratio_sd,log.fecundity_sd,log.growth_coefficient_sd,temperature_sd,log.length_max_sd,log.length_infinity_sd,log.length_maturity_sd,log.age_maturity_sd,log.natural_mortality_sd,log.weight_infinity_sd,log.max_body_depth_sd,log.max_body_width_sd,log.lower_jaw_length_sd,log.min_caudal_pedoncule_depth_sd,log.offspring_size_sd
Hucho taimen,3.3764,4.46016,0.272274,10.6241,-2.2891,11.3627,5.44729,5.22916,4.2009,1.61103,-1.8667,10.9279,-0.360778,-0.853156,-0.791576,-1.30107,1.49862,0.231954,0.00960872,0.14432,0.730208,0.233984,2.35601,0.126215,0.113752,0.180957,0.145845,0.165682,0.518694,0.109793,0.0936686,0.222416,0.215871,0.43442
Parahucho perryi,3.05677,4.49981,0.557386,10.7111,-2.54341,6.03427,4.8928,4.90847,3.91005,2.00156,-1.69943,9.97872,-0.191271,-0.887377,-0.699231,-1.19074,1.29548,0.498778,0.0103032,0.168694,1.58299,0.327473,4.3946,0.435823,0.413103,0.483366,0.275217,0.38796,1.26205,0.00981737,0.0101105,0.00964896,0.00991103,0.53056
