linf,k
115.1550987258008,0.08323150077538484
109.73220572139431,0.09321302033817813
112.97824447390931,0.08749645592887849
106.4150490283912,0.0904290723052865
109.11854211391542,0.0909787599438153
106.75016072484507,0.10412754511487592
106.05139711954004,0.09956449455750539
104.53903923334683,0.09868262625355079
104.47376520964849,0.09921748667605848
104.70109379636621,0.09963524960217107
107.3115861750087,0.09929658269649351
107.75461405640823,0.09610761773638062
105.52572683439861,0.09997019369685477
113.67141617474026,0.08958955963768772
111.5374324031999,0.0899249713449986
106.49233083779275,0.09886604206097167
107.25717178949313,0.09954110147976479
103.49581209592893,0.10292522955896695
107.77618579494238,0.09766368607772058
102.91087005415658,0.10180883500989439
109.57460823466235,0.08734059682012751
121.51124743310655,0.07735576073860487
124.80075834394839,0.07570754850089063
121.93415614175423,0.08134309587149313
111.30988087732851,0.0906367158159186
114.2099028584726,0.09012487544056533
114.33939397588128,0.0936169060795653
112.94458169017696,0.0854781572976848
113.30364927937468,0.0872554714619754
112.63076186617884,0.08498893041237543
114.19493253289671,0.08610127095269457
114.4847007859661,0.0914144537993318
115.66826867886093,0.09127712188280548
105.99462279461305,0.09253471858450689
106.60811931722736,0.09112906985248939
108.31859727040077,0.08870035432343834
107.61741656298399,0.10255672536446696
104.76002762591742,0.09744751677756959
108.22261580381897,0.09769160764003375
107.024855472324,0.09775891871487483
111.0864825168508,0.09527811733773395
106.49610463819795,0.0904546402668694
112.0979228970768,0.09164378317060123
109.63912856946749,0.0897685353327719
114.28930649063913,0.09092233668369704
114.39688061550547,0.09043356667694577
109.7349051802399,0.08828924503670446
104.78740712443799,0.10248239275385061
108.29551934728073,0.09620303724955179
106.76621666683961,0.092998735725735
108.01571963793707,0.09395313378282853
112.42841418779857,0.09061744578808827
112.895776841373,0.09040723725282061
106.87375880165928,0.0947878826835658
106.709118563512,0.09417820622462157
111.82465052914891,0.09199515969217541
112.18748520575396,0.0939130052348288
111.03588246178842,0.09254798582828264
105.61660810274745,0.09891588688211757
113.6477862916333,0.08709829972136295
108.82725959461659,0.09412963115347361
109.24855535337821,0.09216534907849798
107.90081250075463,0.10035185730826149
111.06030506647816,0.09128795601175893
100.37179898040898,0.10273929327563
102.91931411730535,0.10661222807459675
102.18074566924588,0.10885887382174052
101.97477332777274,0.10799321922159622
107.9467543589883,0.09727236607769138
106.47302178088633,0.09667427278164452
105.57086095426904,0.09805508434387462
107.12192965077838,0.09550158009190247
107.55384977724816,0.09945295286764974
111.19347774532493,0.08227497889609837
115.54392346064422,0.08786323041499959
102.43077655837698,0.09850173253100783
104.61865647805276,0.09628246693761774
117.92865383870213,0.0803782742779695
117.02717548726945,0.08272078724795218
114.2986189992442,0.08296941535038281
111.98310401870191,0.08260985828870966
121.15133410320635,0.0733752131081729
123.69861775444193,0.07283040326121218
106.81479215537577,0.09464047157345294
105.26200052763694,0.09952999950852616
106.30060280530897,0.09945944338386414
107.79216234027398,0.09581411074198773
114.20581769523629,0.0851882683413815
114.18235082431327,0.08270547842208323
106.16965511845055,0.10218152412927407
110.44740927523546,0.09359961020174665
109.47129568474438,0.09408560762415359
115.48707684161765,0.08231270033881138
113.13927283118863,0.08757122457406775
114.97224901094336,0.08621026378211324
108.91620039142242,0.09243452888481238
101.55533958606212,0.10941301061112836
100.21708832169125,0.10943502516388946
102.22143297386874,0.10624184821236765
110.78444405554228,0.09130996752287965
110.74490298859585,0.08863924330449849
113.58006392272348,0.08504838969243454
124.08061298227273,0.07041956390767848
122.88099162959224,0.07553923470052018
115.66571842984172,0.08203996313882918
113.21725394503471,0.08578012520460125
113.63077539364163,0.08601793360779524
111.35501357965353,0.08748471697622413
112.30690369266503,0.08839636823577977
109.42991500365787,0.09150054528803027
115.5267555297644,0.08237781676551083
106.83417253304722,0.09320074229243472
104.71245252817512,0.09623301115881981
112.81990406677748,0.08689362812162846
112.75937572745944,0.08903272383677562
114.74231168314613,0.0885375597314705
114.32023546578553,0.08373685562282371
115.57500705916962,0.0813911756360118
104.00382891014866,0.09983350025109396
108.86913605346695,0.09771115617640833
107.11283650759198,0.0994869210381467
112.32903300644087,0.08639141353225403
110.39116921731524,0.08991842184838773
116.05771273992059,0.08296171544572821
112.36954619460337,0.08594283718752642
113.83598374717391,0.08391887181542268
116.67558297221865,0.08084864119597686
121.5781083335229,0.07662516109518572
108.8971817766072,0.08995539690399952
115.82079436198617,0.07845025066284816
113.7930776764514,0.0855644830580439
105.79423802975569,0.09807753084337897
115.79493739519839,0.08593056663838165
115.47968676429946,0.08050596263933675
109.84789498545572,0.09629508489455472
116.06539952344762,0.07870029163971029
116.34376863010786,0.08604368968289741
111.26359371190439,0.09080316571982251
110.44009096375464,0.08880119750775671
113.2167107666154,0.08429921081649244
113.69647475019678,0.08397025875478764
112.53883617458315,0.09143143309853358
109.32154637078568,0.09009284642929218
114.86997318660976,0.08683612487535025
108.35501742521116,0.09530090705574815
103.84243430803313,0.10504389136321965
110.08018674145309,0.09798844410128354
104.51821683651552,0.09487721706307482
106.07315008762876,0.0953567706838916
104.89560820074664,0.09516250213852122
108.72374143433316,0.09660893452835739
107.55192280233597,0.09130323692262712
108.92324109157042,0.09635061951860208
109.38230998164514,0.09679592145212172
