,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60.96,,,
,,,60,,,
,,,59.69,,,
,,,59.69,,,
,,,59.5,,,
,,,59.5,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58.42,,,
,,,58,,,
,,,58,,,
,,,57.5,,,
,,,57.15,,,
,,,57,,,
,,,56,,,
,,,55.88,,,
,,,55.88,,,
,,,55.88,,,
,,,55.88,,,
,,,55,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53.34,,,
,,,53,,,
,,,52.07,,,
,,,51.5,,,
,,,50.8,,,
,,,50.8,,,
,,,50.8,,,
,,,49.53,,,
,,,49.53,,,
,,,48.26,,,
,,,48.26,,,
,,,47.5,,,
,,,43.18,,,
,,,43.18,,,
,,,41,,,
