2015,2016,2017,2018,2022
97,132,140,142,41
97,122,108,110,44
97,120,105,108,51
95,116,102,107,58
95,112,97,104,58
94,109,94,102,58
92,107,94,100,58
91,102,94,100,60
89,100,94,100,61
89,100,82,100,61
89,99,82,99,61
87,99,82,97,61
87,96,79,95,61
86,95,77,88,61
86,94,76,87,61
86,94,74,86,63
85,94,74,86,64
85,94,74,85,64
85,92,74,84,64
85,92,71,84,64
84,91,71,84,64
83,91,71,84,64
83,89,71,83,66
81,89,71,81,66
80,89,71,81,66
80,87,71,81,66
76,87,70,80,66
74,86,70,80,66
74,86,70,80,66
74,86,69,80,66
74,86,69,80,66
74,86,69,79,66
74,86,69,77,66
71,85,69,77,66
71,84,69,76,66
71,84,69,76,67
71,84,69,76,68
69,84,69,76,69
69,83,69,75,69
69,82,69,75,69
69,82,69,75,69
69,81,69,75,69
69,81,68,75,69
67,79,68,74,69
66,76,67,74,69
66,76,67,74,69
65,76,67,74,69
64,76,66,72,69
64,76,66,72,71
64,76,66,72,71
64,76,66,72,71
64,76,66,72,71
61,76,66,72,71
61,74,66,71,71
61,74,66,71,71
61,74,66,71,71
61,71,66,71,71
61,71,66,70,74
61,71,66,70,74
61,71,66,70,74
61,71,66,70,74
61,71,66,70,74
61,71,66,69,74
60,71,66,69,74
59,71,66,69,75
59,71,66,69,75
58,70,66,68,75
57,70,65,68,75
57,70,64,67,75
57,69,64,66,76
56,69,64,66,76
56,69,64,66,76
56,69,64,66,76
56,68,64,66,76
56,67,64,66,76
54,66,64,66,76
54,66,64,66,76
53,66,64,66,76
51,66,64,66,76
50,66,64,65,76
49,66,64,65,76
25,66,64,65,76
23,65,64,65,76
22,64,64,65,76
,64,64,64,77
,64,63,64,77
,64,63,64,78
,64,63,63,78
,64,62,63,78
,64,62,63,78
,64,62,63,78
,64,61,62,79
,64,61,62,79
,64,61,62,79
,64,61,62,79
,63,61,62,79
,63,61,61,79
,63,61,61,79
,63,60,60,80
,63,60,60,80
,63,60,60,80
,63,59,60,81
,61,59,59,81
,61,59,58,81
,61,57,58,81
,61,56,57,81
,61,55,57,81
,61,53,57,81
,61,51,57,81
,61,,56,81
,61,,56,81
,61,,55,81
,61,,53,81
,60,,51,81
,60,,50,81
,59,,50,81
,59,,50,82
,59,,,83
,59,,,84
,58,,,84
,58,,,84
,58,,,84
,56,,,84
,56,,,84
,56,,,85
,56,,,86
,56,,,86
,56,,,86
,56,,,86
,53,,,86
,51,,,86
,51,,,86
,50,,,87
,46,,,89
,46,,,89
,45,,,89
,45,,,89
,45,,,89
,40,,,89
,,,,89
,,,,89
,,,,89
,,,,91
,,,,91
,,,,91
,,,,91
,,,,92
,,,,92
,,,,94
,,,,94
,,,,94
,,,,95
,,,,96
,,,,97
,,,,97
,,,,97
,,,,99
,,,,99
,,,,99
,,,,102
,,,,102
,,,,102
,,,,102
,,,,102
,,,,102
,,,,104
,,,,105
,,,,105
,,,,107
,,,,107
,,,,110
,,,,115
,,,,120
,,,,122
