2012,2013,2014,2015,2016,2017,2018,2019,2022
28,23,122,127,125,110,110,26,20
33,25,117,120,99,107,103,27,20
41,25,117,110,99,105,100,28,22
41,25,115,104,99,102,99,29,25
41,25,112,102,97,100,97,30,25
41,25,112,100,92,99,94,30,25
43,26,110,97,92,99,94,30,25
43,30,110,97,92,97,93,30,26
43,30,108,97,91,97,92,31,30
46,30,107,97,91,97,91,31,30
46,30,102,95,91,94,89,31,30
46,30,101,95,90,94,89,31,31
46,30,100,94,89,93,88,31,31
46,30,97,94,89,92,87,33,31
46,31,96,94,89,92,87,33,31
46,31,95,92,87,92,87,33,31
46,31,94,89,87,91,87,33,31
46,31,94,89,87,91,85,35,32
48,33,92,89,86,90,84,35,32
48,33,91,87,84,90,84,35,33
48,33,90,87,84,90,82,35,33
48,33,89,87,83,90,82,36,33
48,35,89,87,82,90,82,36,33
48,35,89,86,82,89,81,36,34
48,36,89,85,82,89,81,36,34
48,36,89,85,82,89,80,37,35
48,36,89,84,82,88,79,38,35
48,36,88,84,82,88,79,38,35
48,36,88,84,82,88,79,38,35
51,36,87,84,82,88,79,38,35
51,36,87,84,82,87,79,38,35
51,36,86,84,79,87,79,38,35
51,36,86,84,79,87,78,39,36
51,38,86,84,79,87,78,39,36
51,38,85,84,79,85,77,41,36
51,41,85,84,78,85,77,41,36
51,41,85,84,77,85,77,41,36
51,41,85,83,76,84,77,41,36
51,41,85,83,75,84,76,42,36
51,41,84,82,75,84,76,43,36
51,41,84,82,75,83,76,43,36
51,43,84,82,74,82,76,43,36
51,43,84,82,74,82,76,44,37
51,43,84,81,74,82,76,44,37
51,43,84,81,74,82,76,45,37
51,43,84,81,74,82,75,45,37
52,46,84,81,74,82,75,46,38
53,46,84,81,74,82,75,46,38
53,46,84,81,73,82,75,46,38
53,46,84,81,73,82,75,46,38
53,46,83,80,73,80,74,46,38
53,46,83,80,72,80,74,46,38
53,46,83,80,72,78,74,46,38
53,46,82,80,72,78,74,46,38
53,46,82,80,72,77,74,46,38
53,46,82,79,72,77,74,48,38
53,46,82,79,72,77,74,48,38
53,46,82,79,72,76,74,48,38
53,48,81,79,72,76,74,48,38
53,48,81,79,71,76,74,49,39
53,48,81,79,71,75,74,50,39
53,48,81,79,71,75,74,50,39
53,48,81,79,70,75,74,50,39
53,48,81,78,70,74,73,51,39
53,48,81,77,70,74,73,51,39
53,48,81,77,70,74,72,51,39
