2008,2017
83,107
92,142
85,71
90,87
81,97
67,102
61.5,87
110,60
74,105
82,80.5
111.5,137
105,88
72,104
100,78
90.5,108
95,126
91,94
86.5,118
100,90
78,98
85,68
83,136
84,118
77,97
84.5,63
70,103
85,68
71,100
81,92
104,86
59,109
66,108
116,143
68,124
123,114
135,75
93,90
92,116
90,101
62,109
89,111
58.5,74
83,115
72,84
76,102
70,70
98,119
70,98
71,96
100,111
90,93
71,147
84,129
65,147
71,98
152,98
72,119.5
62,108
65,72
92,113
126,144
153,86
70,99
93,99
96,103
87,59
77,
74,
94,
122,
79,
122,
124,
93,
114,
112,
160,
140,
123,
99,
104,
128,
98,
129,
78,
84,
78,
74,
80,
